Chave do Ticket,Tipo de Solicitacao,Resumo,Status Atual,Criador,Atribuido Para,Resolucao,SLA: Primeira Resposta (Foi Violado?),SLA: Primeira Resposta (Tempo Gasto),SLA: Tempo Resolucao (Foi Violado?),SLA: Tempo Resolucao (Tempo Gasto),Data de Criacao
"GC-8883","Tarefa","Fibra baixa no endereço: R. Rubens Ribeiro de Moraes, 158 - Ourinhos","Concluído","claudio henrique dumas dias","N/A","Feito","NAO","8m","NAO","33m","24/01/2026, 16:23:54"
"GC-8877","Tarefa","Gerador CLPL CPD - Abastecimento","Concluído","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 34m","23/01/2026, 11:37:28"
"GC-8876","Tarefa","Gerador RC Morro do Cruzeiro - Abastecimento","Concluído","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","11m","23/01/2026, 11:26:14"
"GC-8837","Tarefa","TAG_CX_24 - Necessario reorganizar a caixa","Concluído","Alisson Miguel Bertocci","N/A","Feito","SIM","2h 51m","NAO","5h 19m","18/01/2026, 11:30:41"
"GC-8829","Tarefa","Obra CPFL - Taguai","Concluído","NOC Grupo Cednet","N/A","Não fazer","N/A (Excluído)","N/A (Excluído)","NAO","17m","17/01/2026, 10:57:26"
"GC-8792","Tarefa","Preventiva PRJ_CX_74 ","Pending","Marcos Ribeiro","N/A","Em Aberto","NAO","8m","N/A","N/A","13/01/2026, 13:25:00"
"GC-8779","Tarefa","CPD OUR Royal Park - Verificar banco ","Concluído","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","SIM","17h 55m","12/01/2026, 08:16:24"
"GC-8741","Tarefa","PTP Fartura a Sarutaiá- Galhos caído no cabo. ","Concluído","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 55m","08/01/2026, 06:37:04"
"GC-8739","Tarefa","CLPL Morro Chato- Verificação da estrutura","Concluído","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2m","08/01/2026, 06:31:11"
"GC-8694","Tarefa","Gerador CPD Bernardino","Concluído","Infraestrutura","N/A","Feito","N/A (Excluído)","N/A (Excluído)","NAO","4h 36m","03/01/2026, 11:06:47"
"GC-8693","Tarefa","Gerador CPD Santa Cruz","Concluído","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","NAO","2h 20m","03/01/2026, 11:06:15"
"GC-8931","[System] Change","CLPLAP_WROCHA01_M5 - Retrofit ","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","30/01/2026, 09:04:23"
"GC-8930","[System] Change","Manutenção Preventiva no POP SB Torre Celular (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","30/01/2026, 07:08:53"
"GC-8928","[System] Change","CLPL TEREZINHA DANIEL (TAKAHASHI) - NETPROBE com problema","Completed","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 19:31:14"
"GC-8926","[System] Change","SRT Torre Eduvale (F)","Planning","Infraestrutura","Infraestrutura","Em Aberto","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 15:08:22"
"GC-8924","[System] Change","FTR Sitio Sao Pedro - Retirada de Baterias.","Completed","NOC Grupo Cednet","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 10:39:02"
"GC-8923","[System] Change","Retorno Manutenção Preventiva no POP LAG Torre Justo 3 (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 10:37:57"
"GC-8921","[System] Change","Retorno Manutenção Preventiva no POP LAG Torre Igreja (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 09:53:06"
"GC-8920","[System] Change","Retorno Manutenção Preventiva no POP LAG Poste Sítio Goiabal (F)","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 08:49:11"
"GC-8919","[System] Change","FTRLK_BARRASECAXSSJBATISTA_AC - Verificar alinhamento","Completed","Infraestrutura","Infraestrutura","Feito","N/A (Excluído)","N/A (Excluído)","N/A","N/A","29/01/2026, 08:26:51"
